Name,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.11480959125167939,0.013700255354730384,8.38010593810124,4.472488060619252e-12
mutationm.5019,-0.044266764777741253,0.019375086930634337,-2.28472599561606,0.025454450693163207
daynum,6.220136346396214e-4,6.269390191519824e-5,9.92143758225444,7.532512246394373e-15
mutationm.5019:daynum,3.75697018338204e-4,8.86625663665619e-5,4.237380370707315,6.968540322461336e-5
